,first_title,document_number,document_page_url,main_title,,Documentsprincipaux,DocumentChambre,Datededépôt,Typededocument,Datededistribution,Dated'envoi,Auteur(s),COMMISSIONCHAMBRE,ArticleConstitution,Compétence,Analysedesinterventions,Annexe,Datededépōt,Priseenconsidération,1.COMMISSIONCHAMBRE,2.SEANCEPLENIERECHAMBRE,Rapporteur,Calendrier,Incident,DatededÈpÙt,PriseenconsidÈration,CompÈtence,DescripteurEurovocprincipal,DescripteursEurovoc,Mots-cléslibres,DatededťpŰt,Mots-clťslibres,VoteChambre,Datedefin,Statut,Sous-documents,SEANCEPLENIERECHAMBRE,Priseenconsidťration,Compťtence,AnnexeI,Rapport,Document(s)joint(s)/lié(s),Datedelaloi,Datemoniteur,Moniteurn°,2.COMMISSIONCHAMBRE,3.SEANCEPLENIERECHAMBRE,Document(s)joint(s)/liť(s),Moniteurnį,3.COMMISSIONCHAMBRE,4.SEANCEPLENIERECHAMBRE,Candidats-descripteursEurovoc,Datededķp¶t,Priseenconsidķration,Compķtence,4.COMMISSIONCHAMBRE,5.COMMISSIONCHAMBRE,6.COMMISSIONCHAMBRE,7.COMMISSIONCHAMBRE,8.COMMISSIONCHAMBRE,9.SEANCEPLENIERECHAMBRE,DatededÕp¶t,CompÕtence,DocumentSénat,MoniteurnḞ,Moniteurerratum,VoteSénat,3.SEANCEPLENIERESENAT,VoteSťnat,DocumentSťnat,Moniteurn░,6.SEANCEPLENIERECHAMBRE,AnnexeII,Moniteurn∞,Document(s)joint(s)/liÈ(s),9.COMMISSIONCHAMBRE,10.COMMISSIONCHAMBRE,11.SEANCEPLENIERECHAMBRE,Votecandidature,Moniteurn¯,PriseenconsidÕration,Document(s)joint(s)/liÕ(s),10.SEANCEPLENIERECHAMBRE,2.SEANCEPLENIERESENAT,AnnexeIII,AnnexeIV,Document(s)joint(s)/liķ(s),Mots-clķslibres,8.SEANCEPLENIERECHAMBRE,1.SEANCEPLENIERECHAMBRE,5.SEANCEPLENIERECHAMBRE,Mots-clÕslibres,4.SEANCEPLENIERESENAT,Annexe1,Annexe2,DatededÚp˘t,PriseenconsidÚration,CompÚtence,fr_text,nl_text
2,Document parlementaire 55K3518,3518,https://www.lachambre.be/kvvcr/showpage.cfm?section=/flwb&language=fr&cfm=/site/wwwcfm/flwb/flwbn.cfm?lang=F&legislat=55&dossierID=3518,Projet de loi introduisant le livre 2 du Code pénal.,,00/000-K3518/001-2022/2023-0,55K3518001(pasdisponible)PROJETDELOI-CHAMBRELégislature:55-Session:2022/2023-0,24/07/2023,02PROJETDELOI,,24/07/2023,Gouvernement/Regering(AUTEUR),JUSTICE(PUBLIC),74procéduremonocamérale,24/07/2023MATIEREVISEEAL'ARTICLE74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF not disponible,PDF not disponible
42,Document parlementaire 55K3474,3474,https://www.lachambre.be/kvvcr/showpage.cfm?section=/flwb&language=fr&cfm=/site/wwwcfm/flwb/flwbn.cfm?lang=F&legislat=55&dossierID=3474,Rapport sur les demandes de naturalisations.,,00/000-K3474/001-2022/2023-0,55K3474001(pasdisponible)RAPPORT-CHAMBRELťgislature:55-Session:2022/2023-0,,23RAPPORT,03/07/2023,,,,,,P553474,,,,,,,20/07/2023ENDISCUSSION20/07/2023ENREUNION20/07/2023ADOPTE(VoirlaremarquedanslafichecomplŤte)AnalysedesinterventionsP553474DescripteurEurovocprincipalNATURALISATIONDescripteursEurovocNATIONALITE|NATURALISATION,,,,,NATURALISATION,NATIONALITE|NATURALISATION,,03/07/2023,,20/07/2023,20/07/2023,16ADOPTE,002[816Kb]03/07/2023PROPOSITIOND'ACTEDENATURALISATIONDatededistribution03/07/2023,SEANCEPLENIERE(PUBLIC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF not disponible,PDF not disponible
45,Document parlementaire 55K3471,3471,https://www.lachambre.be/kvvcr/showpage.cfm?section=/flwb&language=fr&cfm=/site/wwwcfm/flwb/flwbn.cfm?lang=F&legislat=55&dossierID=3471,Feuilleton des pétitions.,29/06/2023,00/000-K3471/001-2022/2023-0,55K3471001(pasdisponible)FEUILLETONDEPETITIONS-CHAMBRELégislature:55-Session:2022/2023-0,29/06/2023,12FEUILLETONDEPETITIONS,29/06/2023,,Commission/Commissie(AUTEUR),,,,,,,,,,,,,,,,PETITION,PETITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF not disponible,PDF not disponible
46,Document parlementaire 55K3470,3470,https://www.lachambre.be/kvvcr/showpage.cfm?section=/flwb&language=fr&cfm=/site/wwwcfm/flwb/flwbn.cfm?lang=F&legislat=55&dossierID=3470,Feuilleton des pétitions.,29/06/2023,00/000-K3470/001-2022/2023-0,55K3470001(pasdisponible)FEUILLETONDEPETITIONS-CHAMBRELégislature:55-Session:2022/2023-0,29/06/2023,12FEUILLETONDEPETITIONS,29/06/2023,,Commission/Commissie(AUTEUR),,,,,,,,,,,,,,,,PETITION,PETITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF not disponible,PDF not disponible
527,Document parlementaire 55K2988,2988,https://www.lachambre.be/kvvcr/showpage.cfm?section=/flwb&language=fr&cfm=/site/wwwcfm/flwb/flwbn.cfm?lang=F&legislat=55&dossierID=2988,Feuilleton de pétitions.,07/11/2022,00/000-K2988/001-2022/2023-0,55K2988001(pasdisponible)FEUILLETONDEPETITIONS-CHAMBRELégislature:55-Session:2022/2023-0,07/11/2022,12FEUILLETONDEPETITIONS,07/11/2022,,Commission/Commissie(AUTEUR),,,,,,,,,,,,,,,,PETITION,PETITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF not disponible,PDF not disponible
667,Document parlementaire 55K2847,2847,https://www.lachambre.be/kvvcr/showpage.cfm?section=/flwb&language=fr&cfm=/site/wwwcfm/flwb/flwbn.cfm?lang=F&legislat=55&dossierID=2847,Feuilleton des pétitions.,20/07/2022,00/000-K2847/001-2021/2022-0,55K2847001(pasdisponible)FEUILLETONDEPETITIONS-CHAMBRELégislature:55-Session:2021/2022-0,20/07/2022,12FEUILLETONDEPETITIONS,20/07/2022,,Commission/Commissie(AUTEUR),,,,,,,,,,,,,,,,PETITION,PETITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF not disponible,PDF not disponible
676,Document parlementaire 55K2838,2838,https://www.lachambre.be/kvvcr/showpage.cfm?section=/flwb&language=fr&cfm=/site/wwwcfm/flwb/flwbn.cfm?lang=F&legislat=55&dossierID=2838,Feuilleton des pétitions.,15/07/2022,00/000-K2838/001-2021/2022-0,55K2838001(pasdisponible)FEUILLETONDEPETITIONS-CHAMBRELégislature:55-Session:2021/2022-0,15/07/2022,12FEUILLETONDEPETITIONS,15/07/2022,,Commission/Commissie(AUTEUR),,,,,,,,,,,,,,,,PETITION,PETITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF not disponible,PDF not disponible
771,Document parlementaire 55K2743,2743,https://www.lachambre.be/kvvcr/showpage.cfm?section=/flwb&language=fr&cfm=/site/wwwcfm/flwb/flwbn.cfm?lang=F&legislat=55&dossierID=2743,Feuilleton des pétitions.,08/06/2022,00/000-K2743/001-2021/2022-0,55K2743001(pasdisponible)FEUILLETONDEPETITIONS-CHAMBRELégislature:55-Session:2021/2022-0,08/06/2022,12FEUILLETONDEPETITIONS,08/06/2022,,Commission/Commissie(AUTEUR),,,,,,,,,,,,,,,,PETITION,PETITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF not disponible,PDF not disponible
876,Document parlementaire 55K2638,2638,https://www.lachambre.be/kvvcr/showpage.cfm?section=/flwb&language=fr&cfm=/site/wwwcfm/flwb/flwbn.cfm?lang=F&legislat=55&dossierID=2638,Feuilleton des pétitions.,21/04/2022,00/000-K2638/001-2021/2022-0,55K2638001(pasdisponible)FEUILLETONDEPETITIONS-CHAMBRELégislature:55-Session:2021/2022-0,21/04/2022,12FEUILLETONDEPETITIONS,21/04/2022,,Commission/Commissie(AUTEUR),,,,,,,,,,,,,,,,PETITION,PETITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF not disponible,PDF not disponible
1139,Document parlementaire 55K2375,2375,https://www.lachambre.be/kvvcr/showpage.cfm?section=/flwb&language=fr&cfm=/site/wwwcfm/flwb/flwbn.cfm?lang=F&legislat=55&dossierID=2375,Feuilleton des pétitions.,08/12/2021,00/000-K2375/001-2021/2022-0,55K2375001(pasdisponible)FEUILLETONDEPETITIONS-CHAMBRELégislature:55-Session:2021/2022-0,08/12/2021,12FEUILLETONDEPETITIONS,08/12/2021,,Commission/Commissie(AUTEUR),,,,,,,,,,,,,,,,PETITION,PETITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF not disponible,PDF not disponible
1268,Document parlementaire 55K2246,2246,https://www.lachambre.be/kvvcr/showpage.cfm?section=/flwb&language=fr&cfm=/site/wwwcfm/flwb/flwbn.cfm?lang=F&legislat=55&dossierID=2246,Proposition de résolution relative ŕ l'indépendance et au fonctionnement de l'Autorité de protection des données.,,00/000-K2246/001-2020/2021-0,55K2246001(pasdisponible)PROPOSITIONDERESOLUTION-CHAMBRELégislature:55-Session:2020/2021-0,12/10/2021,06PROPOSITIONDERESOLUTION,12/10/2021,14/10/2021,"Sophie,RohonyiDéFI(AUTEUR)François,DeSmetDéFI(AUTEUR)",,,,,,,14/10/2021,JUSTICE(PUBLIC),SEANCEPLENIERE(PUBLIC),,14/10/2021VOTESURURGENCE===>REJETÉE/VERWORPEN3.COMMISSIONCHAMBREPRESIDENTCHAMBRE(PUBLIC)RapporteurIncident14/10/2021VOTESURURGENCE===>REJETÉE/VERWORPENDescripteurEurovocprincipalPROTECTIONDESDONNEESDescripteursEurovocINCOMPATIBILITE|INSTANCEDECONTROLE|PROTECTIONDELAVIEPRIVEE|DEONTOLOGIEPROFESSIONNELLE|PROTECTIONDESDONNEESMots-cléslibresCONFLITD'INTERETS,14/10/2021VOTESURURGENCE===>REJETÉE/VERWORPEN,,,,PROTECTIONDESDONNEES,INCOMPATIBILITE|INSTANCEDECONTROLE|PROTECTIONDELAVIEPRIVEE|DEONTOLOGIEPROFESSIONNELLE|PROTECTIONDESDONNEES,CONFLITD'INTERETS,,,,,,,,,,,,,,,,,,,,PRESIDENTCHAMBRE(PUBLIC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF not disponible,PDF not disponible
1360,Document parlementaire 55K2154,2154,https://www.lachambre.be/kvvcr/showpage.cfm?section=/flwb&language=fr&cfm=/site/wwwcfm/flwb/flwbn.cfm?lang=F&legislat=55&dossierID=2154,Feuilleton des pétitions.,11/08/2021,00/000-K2154/001-2020/2021-0,55K2154001(pasdisponible)FEUILLETONDEPETITIONS-CHAMBRELégislature:55-Session:2020/2021-0,11/08/2021,12FEUILLETONDEPETITIONS,11/08/2021,,Greffe/Griffie(AUTEUR),,,,,,,,,,,,,,,,PETITION,PETITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF not disponible,PDF not disponible
1853,Document parlementaire 55K1661,1661,https://www.lachambre.be/kvvcr/showpage.cfm?section=/flwb&language=fr&cfm=/site/wwwcfm/flwb/flwbn.cfm?lang=F&legislat=55&dossierID=1661,Feuilleton des pétitions.,23/11/2020,00/000-K1661/001-2020/2021-0,55K1661001(pasdisponible)FEUILLETONDEPETITIONS-CHAMBRELégislature:55-Session:2020/2021-0,23/11/2020,12FEUILLETONDEPETITIONS,25/11/2020,,Commission/Commissie(AUTEUR),,,,,,,,,,,,,,,,PETITION,PETITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF not disponible,PDF not disponible
